description,category,channel,startTime,rLength,rateInK,weather,temperature
THUIS,,VRT 1,20:24:14,00:24:08,873.935,,,2025-04-03
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:48:22,859.904,,,2025-04-03
MAN BIJT HOND,,VRT 1,19:51:09,00:24:55,702.872,,,2025-04-03
NIEUWS 19U VTM,,VTM,18:59:50,00:59:10,562.650,,,2025-04-03
BLOKKEN,,VRT 1,18:29:28,00:28:30,478.774,,,2025-04-03
FAMILIE,,VTM,20:10:04,00:24:28,470.227,,,2025-04-03
"VIVE LE VELO, LEVE DE RONDE",,VRT 1,21:46:12,01:19:38,390.191,,,2025-04-03
GELUKKIG GESCHEIDEN,,VRT 1,20:50:37,00:53:36,334.074,,,2025-04-03
HUIS GEMAAKT,,VTM,20:45:06,00:55:09,330.119,,,2025-04-03
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:26:46,267.299,,,2025-04-03
DAGELIJKSE KOST,,VRT 1,18:11:15,00:15:21,259.878,,,2025-04-03
DE TAFEL VAN GERT,,PLAY4,19:59:02,01:05:36,235.483,,,2025-04-03
KAMP JEROOM,,PLAY4,21:20:00,00:44:09,219.235,,,2025-04-03
NIEUWS 13U VTM,,VTM,12:59:48,00:31:47,207.274,,,2025-04-03
DE RIDDER,,VRT 1,17:13:58,00:49:38,205.316,,,2025-04-03
MARKTKRAMERS,,VTM2,21:39:29,00:48:25,195.932,,,2025-04-03
DE AFSPRAAK,,VRT CANVAS,20:30:42,00:47:27,187.268,,,2025-04-03
"MOORDZAKEN, WETSDOKTERS",,VTM,21:55:19,00:45:50,169.798,,,2025-04-03
MILO,,VTM,18:24:48,00:23:26,169.638,,,2025-04-03
HET JOURNAAL LAAT,,VRT 1,23:08:58,00:30:52,168.965,,,2025-04-03
THUIS,,VRT 1,20:21:29,00:25:02,899.362,,,2025-04-02
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:46:23,831.883,,,2025-04-02
MAN BIJT HOND,,VRT 1,19:49:29,00:21:55,644.543,,,2025-04-02
NIEUWS 19U VTM,,VTM,18:59:43,00:57:20,486.472,,,2025-04-02
BLOKKEN,,VRT 1,18:29:06,00:28:25,481.711,,,2025-04-02
FAMILIE,,VTM,20:09:08,00:25:45,477.177,,,2025-04-02
WIELRENNEN. DWARS DOOR VLAANDEREN,,VRT 1,14:15:37,02:48:59,464.202,,,2025-04-02
"VIVE LE VELO, LEVE DE RONDE",,VRT 1,21:29:07,01:10:51,414.776,,,2025-04-02
HET 1 UUR-JOURNAAL,,VRT 1,13:00:05,00:30:54,394.237,,,2025-04-02
PANO,,VRT 1,20:48:05,00:40:00,375.101,,,2025-04-02
LIEFDE VOOR MUZIEK,,VTM,20:44:28,01:09:59,349.134,,,2025-04-02
HET JOURNAAL LAAT,,VRT 1,22:43:40,00:28:46,311.987,,,2025-04-02
DAGELIJKSE KOST,,VRT 1,18:11:17,00:15:28,292.295,,,2025-04-02
MIJN JEUGDRECHTER,,VRT CANVAS,21:21:39,00:43:10,268.426,,,2025-04-02
CELEBRITY MASTERCHEF,,PLAY4,21:20:28,00:45:05,239.774,,,2025-04-02
DE AFSPRAAK,,VRT CANVAS,20:32:53,00:46:15,235.007,,,2025-04-02
NIEUWS 13U VTM,,VTM,12:59:48,00:30:03,223.102,,,2025-04-02
TER ZAKE,,VRT CANVAS,20:00:03,00:28:59,209.306,,,2025-04-02
MILO,,VTM,18:22:41,00:25:02,190.986,,,2025-04-02
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:05:20,178.913,,,2025-04-02
THUIS,,VRT 1,20:18:54,00:26:21,928.504,,,2025-04-01
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:45:07,855.137,,,2025-04-01
MAN BIJT HOND,,VRT 1,19:48:04,00:23:00,719.141,,,2025-04-01
FACTCHECKERS,,VRT 1,20:47:19,00:47:10,682.433,,,2025-04-01
NIEUWS 19U VTM,,VTM,18:59:49,00:58:20,543.578,,,2025-04-01
FAMILIE,,VTM,20:10:42,00:24:33,525.442,,,2025-04-01
BLOKKEN,,VRT 1,18:28:46,00:28:17,465.513,,,2025-04-01
HUIS GEMAAKT,,VTM,20:45:15,00:56:15,431.336,,,2025-04-01
"VIVE LE VELO, LEVE DE RONDE",,VRT 1,21:36:18,01:09:31,423.898,,,2025-04-01
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:30:22,373.888,,,2025-04-01
"STEVE STEVAERT, DE SCHADUW VAN DE MACHT",,VRT CANVAS,21:26:13,00:34:29,301.380,,,2025-04-01
DAGELIJKSE KOST,,VRT 1,18:09:30,00:15:12,271.667,,,2025-04-01
HET JOURNAAL LAAT,,VRT 1,22:47:37,00:25:27,220.075,,,2025-04-01
DE RIDDER,,VRT 1,17:13:18,00:48:29,200.948,,,2025-04-01
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:07:07,183.903,,,2025-04-01
NIEUWS 13U VTM,,VTM,12:59:48,00:29:41,180.331,,,2025-04-01
DE AFSPRAAK,,VRT CANVAS,20:37:27,00:46:26,179.011,,,2025-04-01
MILO,,VTM,18:23:42,00:24:08,158.248,,,2025-04-01
DE IDEALE WERELD,,VRT CANVAS,22:04:22,00:39:19,146.191,,,2025-04-01
DE VUILSTE JOBS VAN VLAANDEREN,,VTM,21:56:56,00:46:23,118.973,,,2025-04-01
HET 7 UUR-JOURNAAL,,VRT 1,19:00:16,00:46:11,917.891,,,2025-03-31
THUIS,,VRT 1,20:20:01,00:24:06,863.663,,,2025-03-31
MAN BIJT HOND,,VRT 1,19:48:06,00:23:50,691.798,,,2025-03-31
NIEUWS 19U VTM,,VTM,18:59:47,00:57:41,627.037,,,2025-03-31
BLOKKEN,,VRT 1,18:28:52,00:28:27,532.816,,,2025-03-31
FAMILIE,,VTM,20:09:29,00:24:51,511.997,,,2025-03-31
"VIVE LE VELO, LEVE DE RONDE",,VRT 1,21:33:32,01:09:25,500.249,,,2025-03-31
WILDLIFE,,VRT 1,20:45:20,00:46:10,447.035,,,2025-03-31
HET 1 UUR-JOURNAAL,,VRT 1,13:00:16,00:27:38,344.001,,,2025-03-31
CELEBRITY MASTERCHEF,,PLAY4,21:16:17,00:48:36,283.076,,,2025-03-31
DAGELIJKSE KOST,,VRT 1,18:10:16,00:15:36,278.146,,,2025-03-31
DE AFSPRAAK,,VRT CANVAS,20:36:47,00:45:32,250.802,,,2025-03-31
"KUNG FU, HELDEN",,VTM,20:44:24,00:50:50,246.741,,,2025-03-31
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:04:32,226.340,,,2025-03-31
HET JOURNAAL LAAT,,VRT 1,22:45:32,00:29:07,202.959,,,2025-03-31
DE RIDDER,,VRT 1,17:16:03,00:46:14,200.685,,,2025-03-31
NIEUWS 13U VTM,,VTM,12:59:48,00:28:43,198.581,,,2025-03-31
ONDERZOEKSRECHTERS,,VTM,21:49:40,00:47:31,182.175,,,2025-03-31
TER ZAKE,,VRT CANVAS,20:00:03,00:33:23,179.912,,,2025-03-31
MILO,,VTM,18:22:37,00:25:38,169.951,,,2025-03-31
DE MOL,,PLAY4,20:00:19,00:56:08,965.582,,,2025-03-30
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:23:05,780.446,,,2025-03-30
CHATEAU PLANCKAERT,,VRT 1,20:04:00,00:40:48,768.966,,,2025-03-30
SPORTWEEKEND,,VRT 1,19:23:19,00:33:39,700.031,,,2025-03-30
WIELRENNEN. GENT-WEVELGEM H.,,VRT 1,13:48:28,03:00:03,607.438,,,2025-03-30
DANCING WITH THE STARS,,VTM,19:55:31,01:36:36,524.869,,,2025-03-30
FLIKKEN MAASTRICHT,,VRT 1,20:46:16,00:47:53,522.817,,,2025-03-30
WIELRENNEN. GENT-WEVELGEM D.,,VRT 1,16:50:21,01:21:21,522.203,,,2025-03-30
NIEUWS 19U VTM,,VTM,18:59:46,00:46:49,481.453,,,2025-03-30
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:31:17,454.757,,,2025-03-30
CAFE DE MOL,,PLAY4,21:08:31,00:47:25,354.296,,,2025-03-30
OGEN DICHT EN FLUITEN,,VRT 1,18:36:33,00:19:33,310.514,,,2025-03-30
DE ZEVENDE DAG,,VRT 1,10:59:41,01:56:17,287.372,,,2025-03-30
DE IDEALE WERELD,,VRT 1,21:36:35,00:40:12,247.329,,,2025-03-30
NIEUWS 13U VTM,,VTM,12:59:48,00:37:29,235.721,,,2025-03-30
WELKOM AAN BOORD,,VTM,21:56:15,00:55:34,174.341,,,2025-03-30
SPORTS LATE NIGHT,,PLAY4,22:04:23,00:47:49,163.297,,,2025-03-30
HET JOURNAAL LAAT,,VRT 1,22:19:47,00:17:00,150.016,,,2025-03-30
VB. JUPILER PRO LEAGUE - CLUB BRUGGE - RSC ANDERLECHT,,DAZN PRO LEAGUE 1 (NL),13:25:31,01:41:01,108.030,,,2025-03-30
THE DAY OF THE JACKAL,,VRT CANVAS,20:00:07,00:44:41,107.230,,,2025-03-30
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:37:21,702.940,,,2025-03-29
DE DROOMFABRIEK,,VRT 1,19:50:02,01:17:55,536.886,,,2025-03-29
NIEUWS 19U VTM,,VTM,18:59:47,00:43:44,479.629,,,2025-03-29
FC DE KAMPIOENEN,,VRT 1,21:11:07,00:33:43,413.974,,,2025-03-29
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:27:40,401.667,,,2025-03-29
HET ECHTE LEVEN IN DE ZOO,,VTM,19:55:44,00:28:08,368.094,,,2025-03-29
DIERENDOKTERS 24/7,,VRT 1,18:35:29,00:19:56,254.409,,,2025-03-29
NIEUWS 13U VTM,,VTM,12:59:48,00:26:14,237.534,,,2025-03-29
LOSLOPEND WILD,,VRT 1,22:18:34,00:26:09,205.114,,,2025-03-29
LEGO MASTERS,,VTM,20:34:38,01:02:35,192.156,,,2025-03-29
ANDERMANS ZAKEN,,VRT 1,13:35:33,00:45:03,181.607,,,2025-03-29
MAN BIJT HOND,,VRT 1,21:46:57,00:28:31,170.109,,,2025-03-29
#LIKEME,,VRT 1,18:08:23,00:25:40,165.329,,,2025-03-29
HET JOURNAAL LAAT,,VRT 1,22:48:21,00:15:59,165.125,,,2025-03-29
FLIKKEN MAASTRICHT,,VRT 1,15:03:50,00:45:37,162.373,,,2025-03-29
DE RIDDER,,VRT 1,17:04:25,00:50:31,159.822,,,2025-03-29
DE MARKT,,VRT 1,12:29:35,00:28:42,139.560,,,2025-03-29
S.O.S. PIET XL,,VTM,18:18:48,00:25:51,137.601,,,2025-03-29
SPORTS LATE NIGHT,,PLAY4,22:39:21,00:38:40,132.304,,,2025-03-29
MIDWAY,,VTM3,20:35:04,02:03:50,117.685,,,2025-03-29
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:46:16,860.820,,,2025-03-28
THUIS,,VRT 1,20:20:37,00:24:23,799.390,,,2025-03-28
MAN BIJT HOND,,VRT 1,19:49:48,00:23:12,704.445,,,2025-03-28
NIEUWS 19U VTM,,VTM,18:59:47,00:56:12,644.930,,,2025-03-28
BLOKKEN,,VRT 1,18:28:47,00:28:29,584.393,,,2025-03-28
MAKE UP YOUR MIND,,VTM,20:43:21,01:11:19,578.035,,,2025-03-28
FAMILIE,,VTM,20:08:34,00:24:17,492.649,,,2025-03-28
WIELRENNEN. E3 SAXO BANK CLASSIC,,VTM,13:36:35,04:22:59,424.161,,,2025-03-28
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:26:10,396.019,,,2025-03-28
MIJN EERSTE REIS,,VRT 1,20:46:39,00:51:18,332.757,,,2025-03-28
DAGELIJKSE KOST,,VRT 1,18:09:18,00:15:30,300.624,,,2025-03-28
DE AFSPRAAK,,VRT CANVAS,20:36:13,00:55:18,233.965,,,2025-03-28
EEN JAAR OP ZEE,,VRT 1,21:40:09,00:48:40,220.586,,,2025-03-28
NIEUWS 13U VTM,,VTM,12:59:48,00:26:13,206.329,,,2025-03-28
DE RIDDER,,VRT 1,17:10:57,00:50:43,205.438,,,2025-03-28
HET JOURNAAL LAAT,,VRT 1,22:30:44,00:30:44,202.423,,,2025-03-28
TER ZAKE,,VRT CANVAS,20:00:03,00:33:07,193.890,,,2025-03-28
THE GOOD DOCTOR,,VTM,22:07:22,00:43:00,173.502,,,2025-03-28
BIG BROTHER,,PLAY4,20:42:29,01:00:48,151.928,,,2025-03-28
WHITE OUT,,VRT CANVAS,22:22:34,00:44:44,142.847,,,2025-03-28
THUIS,,VRT 1,20:17:52,00:24:30,1.020.087,,,2025-03-27
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:43:18,881.262,,,2025-03-27
MAN BIJT HOND,,VRT 1,19:46:05,00:23:30,695.068,,,2025-03-27
FAMILIE,,VTM,20:05:28,00:25:44,668.771,,,2025-03-27
BLOKKEN,,VRT 1,18:29:07,00:28:30,652.432,,,2025-03-27
NIEUWS 19U VTM,,VTM,18:59:48,00:53:21,619.701,,,2025-03-27
DE DAG VAN VANDAAG,,VRT 1,21:37:08,00:53:26,594.309,,,2025-03-27
HUIS GEMAAKT,,VTM,20:41:26,01:05:45,573.288,,,2025-03-27
GELUKKIG GESCHEIDEN,,VRT 1,20:44:02,00:50:35,399.926,,,2025-03-27
MARKTKRAMERS,,VTM2,21:38:17,00:49:24,389.186,,,2025-03-27
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:27:33,291.625,,,2025-03-27
MILO,,VTM,18:25:03,00:22:49,288.662,,,2025-03-27
DAGELIJKSE KOST,,VRT 1,18:10:25,00:15:14,276.136,,,2025-03-27
HET JOURNAAL LAAT,,VRT 1,22:34:20,00:28:31,268.606,,,2025-03-27
ZONDER STERREN,,PLAY4,21:23:08,00:46:42,257.762,,,2025-03-27
DE AFSPRAAK,,VRT CANVAS,20:36:38,00:45:18,226.829,,,2025-03-27
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:11:21,214.845,,,2025-03-27
"MOORDZAKEN, WETSDOKTERS",,VTM,22:05:42,00:55:52,198.167,,,2025-03-27
NIEUWS 13U VTM,,VTM,12:59:48,00:27:29,190.719,,,2025-03-27
VLAANDEREN VAKANTIELAND,,VRT 1,17:44:55,00:18:59,182.923,,,2025-03-27
THUIS,,VRT 1,20:18:58,00:25:50,932.932,,,2025-03-26
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:44:43,845.845,,,2025-03-26
LIEFDE VOOR MUZIEK,,VTM,20:43:07,01:06:30,687.273,,,2025-03-26
MAN BIJT HOND,,VRT 1,19:46:59,00:21:39,674.579,,,2025-03-26
BLOKKEN,,VRT 1,18:28:01,00:28:30,638.228,,,2025-03-26
FAMILIE,,VTM,20:07:58,00:24:32,611.535,,,2025-03-26
PANO,,VRT 1,20:46:32,00:40:17,569.892,,,2025-03-26
NIEUWS 19U VTM,,VTM,18:59:47,00:55:17,560.336,,,2025-03-26
DE DAG VAN VANDAAG,,VRT 1,21:29:05,00:51:06,531.206,,,2025-03-26
DAGELIJKSE KOST,,VRT 1,18:10:16,00:15:27,392.044,,,2025-03-26
MIJN JEUGDRECHTER,,VRT CANVAS,21:22:18,00:42:13,354.541,,,2025-03-26
CELEBRITY MASTERCHEF,,PLAY4,21:19:29,00:51:05,353.458,,,2025-03-26
HET 1 UUR-JOURNAAL,,VRT 1,13:00:05,00:25:42,343.860,,,2025-03-26
WIELRENNEN. CLASSIC BRUGGE-DE PANNE H.,,VRT 1,15:14:46,02:06:07,313.851,,,2025-03-26
WELKOM AAN BOORD,,VTM,22:08:00,00:55:36,313.303,,,2025-03-26
HET JOURNAAL LAAT,,VRT 1,22:22:28,00:29:39,296.454,,,2025-03-26
MILO,,VTM,18:24:15,00:23:26,265.771,,,2025-03-26
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:08:14,216.420,,,2025-03-26
TER ZAKE,,VRT CANVAS,20:00:03,00:30:21,209.973,,,2025-03-26
#LIKEME,,KETNET,18:46:02,00:25:40,202.942,,,2025-03-26
THUIS,,VRT 1,20:18:24,00:24:33,1.064.684,,,2025-03-25
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:45:52,967.682,,,2025-03-25
FACTCHECKERS,,VRT 1,20:45:03,00:40:43,963.891,,,2025-03-25
MAN BIJT HOND,,VRT 1,19:48:57,00:22:18,785.268,,,2025-03-25
BLOKKEN,,VRT 1,18:28:43,00:28:29,647.978,,,2025-03-25
DE DAG VAN VANDAAG,,VRT 1,21:28:01,00:51:31,633.767,,,2025-03-25
FAMILIE,,VTM,20:09:21,00:25:09,616.211,,,2025-03-25
NIEUWS 19U VTM,,VTM,18:59:46,00:58:10,596.715,,,2025-03-25
HUIS GEMAAKT,,VTM,20:44:21,00:57:40,546.278,,,2025-03-25
"STEVE STEVAERT, DE SCHADUW VAN DE MACHT",,VRT CANVAS,21:35:07,00:38:11,446.174,,,2025-03-25
HET 1 UUR-JOURNAAL,,VRT 1,13:00:05,00:27:56,387.351,,,2025-03-25
DAGELIJKSE KOST,,VRT 1,18:10:23,00:15:20,326.274,,,2025-03-25
DOOD SPOOR,,PLAY4,21:17:39,00:52:22,288.663,,,2025-03-25
DE RIDDER,,VRT 1,17:13:40,00:49:29,281.785,,,2025-03-25
HET JOURNAAL LAAT,,VRT 1,22:23:09,00:22:02,275.579,,,2025-03-25
MILO,,VTM,18:25:12,00:22:54,275.057,,,2025-03-25
DE AFSPRAAK,,VRT CANVAS,20:35:40,00:56:57,233.271,,,2025-03-25
NIEUWS 13U VTM,,VTM,12:59:48,00:28:20,220.976,,,2025-03-25
DE TAFEL VAN GERT,,PLAY4,19:59:03,01:05:13,218.360,,,2025-03-25
DE IDEALE WERELD,,VRT CANVAS,22:16:07,00:38:59,215.232,,,2025-03-25
THUIS,,VRT 1,20:18:09,00:26:27,1.023.824,,,2025-03-24
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:44:48,909.640,,,2025-03-24
MAN BIJT HOND,,VRT 1,19:47:21,00:23:51,756.116,,,2025-03-24
NIEUWS 19U VTM,,VTM,18:59:47,00:57:27,660.772,,,2025-03-24
DE DAG VAN VANDAAG,,VRT 1,21:34:30,00:53:37,637.455,,,2025-03-24
FAMILIE,,VTM,20:09:34,00:25:25,636.067,,,2025-03-24
WILDLIFE,,VRT 1,20:46:49,00:45:30,596.995,,,2025-03-24
BLOKKEN,,VRT 1,18:27:05,00:28:30,576.070,,,2025-03-24
CELEBRITY MASTERCHEF,,PLAY4,21:21:40,00:50:20,469.099,,,2025-03-24
"KUNG FU, HELDEN",,VTM,20:45:51,00:51:37,401.294,,,2025-03-24
HET 1 UUR-JOURNAAL,,VRT 1,13:00:05,00:29:02,376.312,,,2025-03-24
HET JOURNAAL LAAT,,VRT 1,22:31:31,00:29:24,332.707,,,2025-03-24
DAGELIJKSE KOST,,VRT 1,18:07:33,00:15:51,292.376,,,2025-03-24
MILO,,VTM,18:24:47,00:22:54,273.370,,,2025-03-24
DE RIDDER,,VRT 1,17:10:49,00:49:51,261.173,,,2025-03-24
DE TAFEL VAN GERT,,PLAY4,19:59:00,01:09:22,242.398,,,2025-03-24
DE AFSPRAAK,,VRT CANVAS,20:37:48,00:46:10,240.593,,,2025-03-24
ONDERZOEKSRECHTERS,,VTM,21:55:35,00:46:33,225.135,,,2025-03-24
NIEUWS 13U VTM,,VTM,12:59:48,00:26:11,221.320,,,2025-03-24
TER ZAKE,,VRT CANVAS,20:00:03,00:34:30,191.345,,,2025-03-24
DE MOL,,PLAY4,20:00:04,01:16:05,1.399.570,,,2025-03-23
VB. NATIONS LEAGUE UEFA - BELGIE/OEKRAINE,,VTM,20:46:40,01:36:55,805.738,,,2025-03-23
HET 7 UUR-JOURNAAL,,VRT 1,19:00:03,00:22:52,796.926,,,2025-03-23
TABOE,,VRT 1,20:04:19,00:48:26,748.200,,,2025-03-23
SPORTWEEKEND,,VRT 1,19:23:08,00:33:36,718.418,,,2025-03-23
DANCING WITH THE STARS,,VTM,19:56:26,00:16:34,707.405,,,2025-03-23
FLIKKEN MAASTRICHT,,VRT 1,20:55:40,00:49:48,578.854,,,2025-03-23
NIEUWS 19U VTM,,VTM,18:59:48,00:45:21,554.624,,,2025-03-23
CAFE DE MOL,,PLAY4,21:31:58,00:39:24,434.690,,,2025-03-23
HET 1 UUR-JOURNAAL,,VRT 1,12:59:54,00:22:49,406.949,,,2025-03-23
DE ZEVENDE DAG,,VRT 1,11:00:04,01:55:40,278.116,,,2025-03-23
NIEUWS 13U VTM,,VTM,12:59:48,00:38:07,256.061,,,2025-03-23
ANDERMANS ZAKEN,,VRT 1,13:28:46,00:50:19,255.075,,,2025-03-23
THE DAY OF THE JACKAL,,VRT CANVAS,20:00:03,00:47:55,239.467,,,2025-03-23
DAGELIJKSE KOST,,VRT 1,18:11:23,00:45:07,221.864,,,2025-03-23
HET JOURNAAL LAAT,,VRT 1,22:28:57,00:15:21,159.197,,,2025-03-23
DE IDEALE WERELD,,VRT 1,21:48:54,00:37:03,158.839,,,2025-03-23
"FBI, INTERNATIONAL",,PLAY5,20:25:04,00:38:46,145.597,,,2025-03-23
PEARL HARBOR,,VTM2,19:55:05,02:45:41,124.821,,,2025-03-23
S.O.S. PIET XL,,VTM,13:49:48,00:25:14,106.539,,,2025-03-23
DE DROOMFABRIEK,,VRT 1,19:49:51,01:16:25,773.676,,,2025-03-22
HET 7 UUR-JOURNAAL,,VRT 1,19:00:05,00:37:18,709.785,,,2025-03-22
FC DE KAMPIOENEN,,VRT 1,21:08:07,00:33:58,538.073,,,2025-03-22
WIELRENNEN. MILAAN-SAN REMO,,VTM,13:36:25,03:31:27,459.758,,,2025-03-22
NIEUWS 19U VTM,,VTM,18:59:47,00:45:40,444.187,,,2025-03-22
HET ECHTE LEVEN IN DE ZOO,,VTM,19:58:21,00:25:27,381.958,,,2025-03-22
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:23:28,346.160,,,2025-03-22
LEGO MASTERS,,VTM,20:34:56,01:00:47,345.761,,,2025-03-22
S.O.S. PIET XL,,VTM,18:21:36,00:25:15,259.411,,,2025-03-22
DE RIDDER,,VRT 1,17:03:28,00:51:27,230.136,,,2025-03-22
STHLM REQUIEM,,VRT CANVAS,20:38:29,00:44:13,215.941,,,2025-03-22
LOSLOPEND WILD,,VRT 1,22:17:33,00:27:39,213.999,,,2025-03-22
DIERENDOKTERS 24/7,,VRT 1,18:35:50,00:19:45,206.066,,,2025-03-22
NIEUWS 13U VTM,,VTM,12:59:48,00:26:19,182.207,,,2025-03-22
MAN BIJT HOND,,VRT 1,21:44:50,00:29:28,180.974,,,2025-03-22
NAVY NCIS,,PLAY5,19:25:52,00:39:27,172.307,,,2025-03-22
EXPEDITIE GOORIS,,VTM,21:52:52,00:57:46,167.178,,,2025-03-22
#LIKEME,,VRT 1,18:09:10,00:25:25,159.783,,,2025-03-22
FLIKKEN MAASTRICHT,,VRT 1,14:51:45,00:49:30,155.150,,,2025-03-22
BAD BOYS FOR LIFE,,VTM2,20:25:03,01:53:06,148.891,,,2025-03-22
THUIS,,VRT 1,20:14:30,00:23:33,1.085.363,,,2025-03-21
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:39:50,907.941,,,2025-03-21
MAN BIJT HOND,,VRT 1,19:42:22,00:23:49,719.896,,,2025-03-21
MAKE UP YOUR MIND,,VTM,20:37:56,01:16:45,684.444,,,2025-03-21
BLOKKEN,,VRT 1,18:28:27,00:28:29,640.292,,,2025-03-21
FAMILIE,,VTM,20:01:50,00:24:49,593.797,,,2025-03-21
NIEUWS 19U VTM,,VTM,18:59:48,00:49:52,526.637,,,2025-03-21
MIJN EERSTE REIS,,VRT 1,20:40:34,00:44:56,452.631,,,2025-03-21
HET 1 UUR-JOURNAAL,,VRT 1,13:00:04,00:24:31,348.390,,,2025-03-21
DAGELIJKSE KOST,,VRT 1,18:11:08,00:15:12,320.418,,,2025-03-21
DE AFSPRAAK,,VRT CANVAS,20:34:10,00:51:06,281.145,,,2025-03-21
THE GOOD DOCTOR,,VTM,22:09:16,00:40:40,278.808,,,2025-03-21
WHITE OUT,,VRT CANVAS,21:27:59,00:47:00,272.763,,,2025-03-21
DE RIDDER,,VRT 1,17:14:03,00:49:55,254.651,,,2025-03-21
WIELRENNEN. BREDENE KOKSIJDE CLASSIC,,VRT 1,14:30:20,02:42:47,225.292,,,2025-03-21
NIEUWS 13U VTM,,VTM,12:59:48,00:26:53,214.618,,,2025-03-21
EEN JAAR OP ZEE,,VRT 1,21:27:36,00:48:40,208.305,,,2025-03-21
HET JOURNAAL LAAT,,VRT 1,22:19:10,00:25:10,203.239,,,2025-03-21
TER ZAKE,,VRT CANVAS,20:00:03,00:31:09,189.393,,,2025-03-21
BIG BROTHER,,PLAY4,20:43:13,00:58:01,182.754,,,2025-03-21
THUIS,,VRT 1,20:19:21,00:45:57,991.700,,,2025-03-20
HET 7 UUR-JOURNAAL,,VRT 1,19:00:04,00:46:35,903.630,,,2025-03-20
MAN BIJT HOND,,VRT 1,19:49:43,00:22:37,767.392,,,2025-03-20
VB. NATIONS LEAGUE UEFA - OEKRAINE/BELGIE,,VTM,20:45:57,01:35:42,652.256,,,2025-03-20
FAMILIE,,VTM,19:50:35,00:25:50,619.047,,,2025-03-20
BLOKKEN,,VRT 1,18:28:55,00:28:29,545.867,,,2025-03-20
